Álex Abrines,shooting.2017,23,OKC,NBA,SG,5,80,.348,20.2,.261,.217,.000,.000,.043,.739,.500,.400,,,1.000,.294,.667,.043,0,1.000,.176,.667,1,0
Álex Abrines,shooting.2018,24,OKC,NBA,SG,6,110,.400,19.1,.350,.150,.050,.000,.150,.650,.286,.333,.000,,.333,.462,.000,.000,0,.833,.308,.750,0,0
Steven Adams,shooting.2014,20,OKC,NBA,C,18,331,.689,2.9,1.000,.756,.156,.089,.000,.000,.689,.765,.429,.500,,,.742,.400,16,,,,0,0
Steven Adams,shooting.2016,22,OKC,NBA,C,18,553,.613,2.8,.991,.757,.216,.018,.000,.009,.618,.679,.417,.500,,.000,.735,.279,29,,.000,,1,0
Steven Adams,shooting.2017,23,OKC,NBA,C,5,157,.643,3.7,1.000,.500,.393,.107,.000,.000,.643,.786,.545,.333,,,.611,.179,5,,,,0,0
Steven Adams,shooting.2018,24,OKC,NBA,C,6,200,.587,3.1,1.000,.587,.413,.000,.000,.000,.587,.667,.474,,,,.815,.261,12,,,,0,0
Steven Adams,shooting.2019,25,OKC,NBA,C,5,159,.667,5.1,.976,.452,.500,.024,.000,.024,.683,.842,.524,1.000,,.000,.893,.214,7,,.000,,1,0
Bam Adebayo,shooting.2018,20,MIA,NBA,C,5,77,.467,4.6,.933,.800,.133,.000,.000,.067,.500,.417,1.000,,,.000,.714,.267,4,,.000,,1,0
Alexis Ajinça,shooting.2015,26,NOP,NBA,C,3,10,1.000,7.5,1.000,.000,.750,.250,.000,.000,1.000,,1.000,1.000,,,.750,.000,0,,,,0,0
Cole Aldrich,shooting.2012,23,OKC,NBA,C,5,25,.444,2.9,1.000,.667,.333,.000,.000,.000,.444,.500,.333,,,,.250,.222,2,,,,0,0
Cole Aldrich,shooting.2016,27,LAC,NBA,C,6,77,.667,4.3,1.000,.333,.667,.000,.000,.000,.667,.800,.600,,,,.700,.000,0,,,,0,0
LaMarcus Aldridge,shooting.2009,23,POR,NBA,PF,6,237,.490,14.3,.962,.125,.163,.288,.385,.038,.500,.846,.353,.533,.425,.250,.540,.077,8,1.000,.250,.000,1,0
LaMarcus Aldridge,shooting.2010,24,POR,NBA,PF,6,229,.430,13.3,.978,.183,.108,.204,.484,.022,.429,.882,.400,.579,.200,.500,.641,.065,6,1.000,.500,1.000,0,0
LaMarcus Aldridge,shooting.2011,25,POR,NBA,PF,6,258,.461,10.0,1.000,.243,.261,.226,.270,.000,.461,.714,.333,.462,.355,,.604,.087,10,,,,0,0
LaMarcus Aldridge,shooting.2014,28,POR,NBA,PF,11,441,.452,10.7,.988,.268,.180,.236,.304,.012,.449,.627,.356,.407,.382,.667,.459,.028,5,.500,.333,1.000,1,0
LaMarcus Aldridge,shooting.2015,29,POR,NBA,PF,5,208,.330,10.4,.902,.339,.143,.223,.196,.098,.337,.500,.188,.240,.273,.273,.294,.018,2,1.000,.182,.000,0,0
LaMarcus Aldridge,shooting.2016,30,SAS,NBA,PF,10,337,.521,10.3,.988,.254,.201,.308,.225,.012,.515,.512,.559,.481,.526,1.000,.523,.012,2,1.000,.500,1.000,0,0
LaMarcus Aldridge,shooting.2017,31,SAS,NBA,PF,16,537,.458,10.7,.942,.267,.196,.238,.238,.058,.478,.719,.489,.368,.316,.143,.537,.063,12,1.000,.500,.000,0,0
LaMarcus Aldridge,shooting.2018,32,SAS,NBA,C,5,177,.463,9.3,.938,.213,.275,.300,.150,.063,.453,.824,.318,.375,.333,.600,.588,.013,1,.667,.200,1.000,0,0
LaMarcus Aldridge,shooting.2019,33,SAS,NBA,C,7,244,.455,10.5,.909,.273,.207,.281,.149,.091,.473,.636,.520,.294,.444,.273,.596,.066,6,1.000,.545,.333,0,0
Grayson Allen,shooting.2019,23,UTA,NBA,SG,2,14,.286,12.7,.571,.429,.143,.000,.000,.429,.500,.333,1.000,,,.000,.000,.000,0,,.333,.000,0,0
Jarrett Allen,shooting.2019,20,BRK,NBA,C,5,110,.594,2.0,1.000,.813,.188,.000,.000,.000,.594,.692,.167,,,,.842,.469,12,,,,0,0
Lavoy Allen,shooting.2012,22,PHI,NBA,PF,12,236,.557,10.3,1.000,.279,.164,.213,.344,.000,.557,.824,.300,.462,.524,,.794,.066,4,,,,0,0
Lavoy Allen,shooting.2014,24,IND,NBA,PF,4,15,.500,11.3,1.000,.250,.250,.000,.500,.000,.500,1.000,.000,,.500,,1.000,.000,0,,,,0,0
Lavoy Allen,shooting.2016,26,IND,NBA,PF,6,51,.300,7.6,1.000,.400,.300,.000,.300,.000,.300,.250,.333,,.333,,1.000,.100,1,,,,0,0
Lavoy Allen,shooting.2017,27,IND,NBA,PF,3,11,,,,,,,,,,,,,,,,,0,,,,0,0
Al-Farouq Aminu,shooting.2015,24,DAL,NBA,SF,5,150,.548,10.6,.645,.355,.258,.032,.000,.355,.500,.727,.250,.000,,.636,.300,.129,4,1.000,.636,.571,0,0
Al-Farouq Aminu,shooting.2016,25,POR,NBA,SF,11,372,.438,16.5,.453,.242,.086,.031,.094,.547,.483,.581,.455,.000,.417,.400,.679,.063,8,.964,.414,.552,0,0
Al-Farouq Aminu,shooting.2017,26,POR,NBA,PF,4,113,.459,14.8,.541,.297,.108,.054,.081,.459,.500,.636,.000,.000,1.000,.412,.600,.108,3,1.000,.176,1.000,0,0
Al-Farouq Aminu,shooting.2018,27,POR,NBA,PF,4,131,.519,16.1,.423,.269,.077,.019,.058,.577,.636,.714,.500,.000,.667,.433,.357,.077,3,1.000,.233,.571,0,0
Al-Farouq Aminu,shooting.2019,28,POR,NBA,PF,16,399,.349,13.8,.532,.275,.202,.028,.028,.468,.397,.500,.273,.333,.333,.294,.609,.064,6,1.000,.549,.393,0,0
Justin Anderson,shooting.2016,22,DAL,NBA,SF,5,95,.459,11.8,.649,.432,.054,.054,.135,.351,.542,.625,1.000,.000,.200,.308,.769,.243,8,1.000,.231,.333,0,0
