Álex Abrines,totals.2017,23,OKC,NBA,SG,5,0,80,8,23,.348,5,17,.294,3,6,.500,.457,3,4,.750,2,7,9,4,0,0,0,8,24
Álex Abrines,totals.2018,24,OKC,NBA,SG,6,0,110,8,20,.400,6,13,.462,2,7,.286,.550,2,2,1.000,3,13,16,2,5,2,1,11,24
Steven Adams,totals.2014,20,OKC,NBA,C,18,0,331,31,45,.689,0,0,,31,45,.689,.689,8,23,.348,22,52,74,4,1,24,10,48,70
Steven Adams,totals.2016,22,OKC,NBA,C,18,18,553,68,111,.613,0,1,.000,68,110,.618,.613,46,73,.630,62,109,171,13,9,14,17,55,182
Steven Adams,totals.2017,23,OKC,NBA,C,5,5,157,18,28,.643,0,0,,18,28,.643,.643,4,11,.364,17,17,34,7,6,9,4,14,40
Steven Adams,totals.2018,24,OKC,NBA,C,6,6,200,27,46,.587,0,0,,27,46,.587,.587,9,13,.692,19,26,45,9,4,4,4,15,63
Steven Adams,totals.2019,25,OKC,NBA,C,5,5,159,28,42,.667,0,1,.000,28,41,.683,.667,3,8,.375,12,24,36,7,5,5,9,13,59
Bam Adebayo,totals.2018,20,MIA,NBA,C,5,0,77,7,15,.467,0,1,.000,7,14,.500,.467,3,14,.214,9,11,20,0,0,2,2,8,17
Alexis Ajinça,totals.2015,26,NOP,NBA,C,3,0,10,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,1,1,1,1,0,0,2,8
Cole Aldrich,totals.2012,23,OKC,NBA,C,5,0,25,4,9,.444,0,0,,4,9,.444,.444,2,4,.500,5,8,13,0,0,0,0,3,10
Cole Aldrich,totals.2016,27,LAC,NBA,C,6,0,77,10,15,.667,0,0,,10,15,.667,.667,3,6,.500,8,22,30,3,6,3,2,11,23
LaMarcus Aldridge,totals.2009,23,POR,NBA,PF,6,6,237,51,104,.490,1,4,.250,50,100,.500,.495,14,20,.700,9,36,45,8,3,10,10,16,117
LaMarcus Aldridge,totals.2010,24,POR,NBA,PF,6,6,229,40,93,.430,1,2,.500,39,91,.429,.435,33,44,.750,10,26,36,13,7,11,11,16,114
LaMarcus Aldridge,totals.2011,25,POR,NBA,PF,6,6,258,53,115,.461,0,0,,53,115,.461,.461,19,24,.792,16,29,45,8,8,10,9,19,125
LaMarcus Aldridge,totals.2014,28,POR,NBA,PF,11,11,441,113,250,.452,2,3,.667,111,247,.449,.456,60,75,.800,30,87,117,16,7,18,19,40,288
LaMarcus Aldridge,totals.2015,29,POR,NBA,PF,5,5,208,37,112,.330,3,11,.273,34,101,.337,.344,32,36,.889,21,35,56,9,2,12,8,16,109
LaMarcus Aldridge,totals.2016,30,SAS,NBA,PF,10,10,337,88,169,.521,2,2,1.000,86,167,.515,.527,41,46,.891,22,61,83,10,4,14,11,18,219
LaMarcus Aldridge,totals.2017,31,SAS,NBA,PF,16,16,537,110,240,.458,2,14,.143,108,226,.478,.463,42,55,.764,43,76,119,24,10,16,28,41,264
LaMarcus Aldridge,totals.2018,32,SAS,NBA,C,5,5,177,37,80,.463,3,5,.600,34,75,.453,.481,41,42,.976,13,33,46,12,3,2,9,9,118
LaMarcus Aldridge,totals.2019,33,SAS,NBA,C,7,7,244,55,121,.455,3,11,.273,52,110,.473,.467,27,33,.818,19,48,67,19,5,7,7,21,140
Grayson Allen,totals.2019,23,UTA,NBA,SG,2,0,14,2,7,.286,0,3,.000,2,4,.500,.286,5,7,.714,0,1,1,0,0,0,0,0,9
Jarrett Allen,totals.2019,20,BRK,NBA,C,5,5,110,19,32,.594,0,0,,19,32,.594,.594,17,20,.850,15,19,34,11,3,3,8,13,55
Lavoy Allen,totals.2012,22,PHI,NBA,PF,12,1,236,34,61,.557,0,0,,34,61,.557,.557,7,12,.583,21,38,59,3,10,11,5,30,75
Lavoy Allen,totals.2014,24,IND,NBA,PF,4,0,15,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,4,5,1,0,0,0,1,4
Lavoy Allen,totals.2016,26,IND,NBA,PF,6,3,51,3,10,.300,0,0,,3,10,.300,.300,0,0,,4,10,14,2,1,1,1,2,6
Lavoy Allen,totals.2017,27,IND,NBA,PF,3,0,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0
