Álex Abrines,2017,23,OKC,NBA,SG,68,1055,.393,20.6,.276,.120,.047,.044,.065,.724,.426,.488,.438,.333,.364,.381,.600,.015,5,.968,.231,.404,2,0
Álex Abrines,2018,24,OKC,NBA,SG,75,1134,.395,20.3,.241,.127,.041,.027,.041,.759,.443,.595,.250,.625,.083,.380,.548,.034,9,1.000,.253,.375,1,0
Álex Abrines,2019,25,OKC,NBA,SG,31,588,.357,22.3,.191,.102,.025,.019,.045,.809,.500,.500,.500,.333,.571,.323,.800,.006,1,.951,.205,.385,2,0
Quincy Acy,2013,22,TOR,NBA,PF,29,342,.560,7.9,.973,.573,.080,.053,.267,.027,.562,.651,.500,.500,.400,.500,.732,.267,19,1.000,.500,1.000,0,0
Quincy Acy,2014,23,TOT,NBA,SF,63,847,.468,8.1,.894,.461,.220,.050,.163,.106,.492,.600,.387,.429,.348,.267,.694,.191,25,1.000,.667,.300,0,0
Quincy Acy,2014,23,TOR,NBA,SF,7,61,.429,14.1,.643,.357,.071,.000,.214,.357,.444,.600,1.000,,.000,.400,.750,.143,2,1.000,.400,.500,0,0
Quincy Acy,2014,23,SAC,NBA,SF,56,786,.472,7.5,.921,.472,.236,.055,.157,.079,.496,.600,.367,.429,.400,.200,.690,.197,23,1.000,.800,.250,0,0
Quincy Acy,2015,24,NYK,NBA,PF,68,1287,.459,12.8,.819,.296,.094,.133,.296,.181,.494,.673,.419,.409,.378,.300,.724,.106,33,1.000,.383,.261,1,0
Quincy Acy,2016,25,SAC,NBA,PF,59,876,.556,9.7,.771,.458,.121,.037,.154,.229,.606,.735,.385,.500,.424,.388,.710,.215,43,.947,.347,.529,0,0
Quincy Acy,2017,26,TOT,NBA,PF,38,558,.412,16.2,.471,.265,.065,.076,.059,.529,.413,.489,.273,.308,.400,.411,.727,.035,6,.973,.278,.360,1,0
Quincy Acy,2017,26,DAL,NBA,PF,6,48,.294,15.4,.588,.235,.118,.059,.118,.412,.400,.500,.500,1.000,.000,.143,.750,.118,2,1.000,.286,.500,0,0
Quincy Acy,2017,26,BRK,NBA,PF,32,510,.425,16.3,.458,.268,.059,.078,.052,.542,.414,.488,.222,.250,.500,.434,.724,.026,4,.972,.277,.348,1,0
Quincy Acy,2018,27,BRK,NBA,PF,70,1359,.356,20.7,.200,.115,.027,.025,.033,.800,.384,.500,.000,.333,.333,.349,.857,.036,9,.990,.305,.404,0,0
Quincy Acy,2019,28,PHO,NBA,PF,10,123,.222,21.7,.167,.111,.000,.056,.000,.833,.667,1.000,,.000,,.133,1.000,.000,0,1.000,.333,.200,0,0
Jaylen Adams,2019,22,ATL,NBA,PG,34,428,.345,20.2,.327,.118,.082,.073,.055,.673,.361,.538,.111,.250,.500,.338,.231,.000,0,.840,.149,.182,1,0
Steven Adams,2014,20,OKC,NBA,C,81,1197,.503,3.2,1.000,.659,.292,.043,.005,.000,.503,.615,.296,.250,.000,,.613,.162,26,,,,0,0
Steven Adams,2015,21,OKC,NBA,C,70,1771,.544,3.3,.995,.599,.356,.038,.003,.005,.547,.644,.408,.333,.000,.000,.650,.213,72,,.000,,1,0
Steven Adams,2016,22,OKC,NBA,C,80,2014,.613,2.2,1.000,.721,.258,.016,.005,.000,.613,.655,.500,.571,.500,,.762,.277,101,,,,0,0
Steven Adams,2017,23,OKC,NBA,C,80,2389,.571,3.7,.998,.557,.388,.046,.005,.002,.572,.655,.488,.367,.000,.000,.668,.198,112,,.000,,1,0
Steven Adams,2018,24,OKC,NBA,C,76,2487,.629,2.6,.997,.708,.233,.052,.004,.003,.631,.688,.494,.514,.000,.000,.690,.242,150,,.000,,2,0
Steven Adams,2019,25,OKC,NBA,C,80,2669,.595,3.5,.998,.645,.294,.058,.000,.002,.596,.667,.458,.511,,.000,.642,.190,131,,.000,,2,0
Steven Adams,2020,26,OKC,NBA,C,58,1564,.591,4.3,.993,.530,.388,.072,.002,.007,.593,.745,.390,.563,1.000,.333,.670,.181,74,1.000,.333,.000,1,1
Bam Adebayo,2018,20,MIA,NBA,C,69,1368,.512,4.3,.979,.624,.232,.082,.041,.021,.523,.642,.329,.321,.214,.000,.701,.294,91,,.000,,4,0
Bam Adebayo,2019,21,MIA,NBA,C,82,1913,.576,5.2,.969,.572,.243,.121,.033,.031,.588,.716,.415,.373,.438,.200,.700,.257,117,.667,.267,.000,2,0
Bam Adebayo,2020,22,MIA,NBA,PF,65,2235,.567,5.7,.982,.483,.303,.149,.047,.018,.576,.735,.454,.421,.235,.077,.717,.224,146,1.000,.615,.125,1,0
Deng Adel,2019,21,CLE,NBA,SF,19,194,.306,19.2,.361,.139,.083,.111,.028,.639,.385,.400,.333,.250,1.000,.261,.600,.000,0,1.000,.217,.200,0,0
Alexis Ajinça,2009,20,CHA,NBA,PF,31,182,.362,13.3,.971,.174,.159,.159,.478,.029,.373,.417,.364,.273,.394,.000,.720,.058,3,,.000,,0,0
Alexis Ajinça,2010,21,CHA,NBA,C,6,30,.500,8.4,1.000,.400,.200,.100,.300,.000,.500,1.000,.000,.000,.333,,.800,.100,1,,,,0,0
Alexis Ajinça,2011,22,TOT,NBA,C,34,340,.444,15.5,.744,.233,.068,.068,.376,.256,.475,.677,.556,.222,.380,.353,.660,.090,9,1.000,.059,1.000,0,0
Alexis Ajinça,2011,22,DAL,NBA,C,10,75,.375,14.8,.781,.125,.125,.219,.313,.219,.360,.500,.500,.286,.300,.429,.556,.031,0,1.000,.286,1.000,0,0
Alexis Ajinça,2011,22,TOR,NBA,C,24,265,.465,15.7,.733,.267,.050,.020,.396,.267,.514,.704,.600,.000,.400,.333,.684,.109,9,1.000,.000,,0,0
Alexis Ajinça,2014,25,NOP,NBA,C,56,951,.546,6.8,.996,.494,.197,.181,.129,.004,.548,.642,.388,.467,.531,.000,.706,.213,46,,.000,,0,0
Alexis Ajinça,2015,26,NOP,NBA,C,68,957,.550,7.2,1.000,.340,.353,.198,.106,.000,.550,.616,.552,.508,.429,,.613,.088,28,,,,0,0
Alexis Ajinça,2016,27,NOP,NBA,C,59,861,.476,9.4,.997,.283,.257,.108,.346,.003,.478,.674,.346,.324,.468,.000,.767,.098,27,,.000,,0,0
